#TYPE Selected.System.Management.Automation.PSCustomObject
"ipaddress";"ispinged"
"127.0.0.1";"True"
"10.254.8.72";"True"
"10.252.8.72";"True"
"10.253.96.250";"True"
"10.252.8.230";"True"
"10.241.207.250";"True"
"10.237.44.248";"True"
"10.241.47.250";"True"
"10.226.95.248";"True"
"10.236.8.72";"True"
"10.236.8.246";"True"
"10.226.135.246";"True"
"10.193.159.251";"True"
"10.192.8.72";"True"
"10.193.143.246";"True"
"10.193.143.250";"True"
"10.193.167.250";"True"
"10.252.8.246";"True"
"10.252.8.83";"True"
"10.252.8.73";"True"
"10.248.8.72";"True"
"10.252.8.163";"True"
"10.254.8.73";"True"
"10.254.9.73";"False"
"10.175.23.250";"True"
"10.253.44.250";"True"
"10.193.56.251";"True"
"10.226.47.248";"True"
"10.175.32.251";"True"
"10.241.183.245";"True"
"10.241.183.246";"True"
"10.193.28.250";"True"
"10.193.32.246";"False"
"10.193.32.250";"True"
"10.192.8.248";"True"
"10.226.127.247";"True"
"10.249.44.250";"True"
"10.241.119.250";"True"
"10.249.36.246";"True"
"10.241.111.246";"True"
"10.241.111.250";"True"
"10.241.167.246";"True"
"10.241.167.245";"True"
"10.241.215.250";"True"
"10.236.8.252";"True"
"10.237.95.251";"True"
"10.241.63.247";"True"
"10.175.0.250";"True"
"10.175.0.231";"True"
"10.249.60.246";"True"
"10.226.215.251";"True"
"10.3.0.250";"True"
"10.237.87.248";"True"
"10.226.167.245";"True"
"10.241.39.250";"True"
"10.241.31.245";"True"
"10.241.31.250";"True"
"10.252.31.250";"False"
"10.241.231.228";"True"
"10.253.52.250";"True"
"10.209.119.250";"True"
"10.193.48.250";"True"
"10.249.24.250";"True"
"10.241.159.250";"True"
"10.253.48.250";"True"
"10.209.127.250";"True"
"10.253.84.250";"True"
"10.241.135.250";"True"
"10.241.127.250";"True"
"10.175.24.248";"True"
"10.175.48.250";"True"
"10.175.2.251";"True"
"10.253.28.245";"True"
"10.226.223.245";"True"
"10.177.135.250";"True"
"10.193.36.250";"False"
"10.193.36.246";"True"
"10.226.119.250";"True"
"10.226.143.245";"True"
"10.253.36.250";"True"
"10.177.111.228";"True"
"10.241.199.247";"False"
"10.241.199.250";"True"
"10.177.119.250";"True"
"10.209.39.250";"True"
"10.209.39.245";"False"
"10.226.239.248";"True"
"10.193.111.245";"True"
"10.193.111.246";"True"
"10.236.8.41";"True"
"10.226.215.246";"True"
"10.226.207.246";"True"
"10.226.103.246";"True"
"10.241.39.246";"False"
"10.252.8.245";"True"
"10.226.231.246";"True"
"10.241.135.245";"False"
"10.249.60.244";"False"
"10.226.183.246";"True"
"10.226.175.245";"True"
"10.226.191.246";"True"
"10.226.239.246";"False"
"10.241.47.245";"False"
"10.226.95.246";"True"
"10.193.159.250";"False"
"10.193.52.246";"True"
"10.193.28.246";"False"
"10.193.24.246";"True"
"10.193.23.246";"True"
"10.252.8.252";"True"
"10.193.19.246";"True"
"10.252.9.210";"True"
"10.248.8.246";"True"
"10.209.119.246";"False"
"19.252.8.72";"False"
"10.193.48.244";"False"
"10.209.127.246";"False"
"10.249.44.246";"False"
"10.226.175.246";"True"
"10.226.143.246";"False"
"10.177.119.247";"False"
"10.193.56.246";"False"
"10.193.68.246";"True"
"10.206.8.250";"True"
"10.253.100.10";"True"
"10.226.87.246";"True"
"10.226.119.246";"False"
"10.226.63.251";"True"
"10.175.48.231";"False"
"10.175.23.234";"False"
"10.175.4.233";"True"
"10.252.8.210";"True"
"10.237.87.246";"False"
"10.1.1.21";"True"
"10.1.1.20";"True"
"10.241.63.246";"False"
"10.241.63.245";"True"
"10.252.2.72";"True"
"10.145.0.250";"True"
"10.175.40.235";"True"
"10.175.23.231";"False"
"10.249.44.251";"False"
"10.147.31.250";"True"
"10.241.47.231";"True"
"10.193.19.231";"True"
"1.252.8.83";"False"
"10.175.40.232";"True"
"10.145.0.246";"False"
"10.175.40.231";"True"
"10.3.0.246";"True"
