#TYPE Selected.System.Management.Automation.PSCustomObject
"name";"ipaddress";"dnsSearchList";"version"
"CA_VISIONPROD";"10.254.8.25";"";"Microsoft Windows Server 2012 R2 Standard"
"CA_VISIONPROD";"169.254.2.14";"";"Microsoft Windows Server 2012 R2 Standard"
"CA_VISIREPPROD";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CA_VISREPPROD";"10.254.8.25";"";"Microsoft Windows Server 2012 R2 Standard"
"CA_VISREPPROD";"169.254.2.14";"";"Microsoft Windows Server 2012 R2 Standard"
"CA00125105CA";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CAA-TEST01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CAALM1DOM01";"10.253.96.250";"";"Microsoft Windows Server 2012 R2 Standard"
"CAAMS1DAT01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CAAMS2DOM01";"10.241.207.250";"";"Microsoft Windows Server 2012 R2 Standard"
"caams2nas01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CABCF1DOM01";"10.237.44.248";"";"Microsoft Windows Server 2012 R2 Standard"
"CABCO1DOM01";"10.241.47.250";"";"Microsoft Windows Server 2012 R2 Standard"
"CABPN1DOM01";"10.226.95.248";"";"Microsoft Windows Server 2012 R2 Standard"
"CABRE1DAT01";"10.226.135.254";"";"Microsoft Windows Server 2012 Standard"
"CABRE1DAT01";"169.254.208.70";"";"Microsoft Windows Server 2012 Standard"
"CABRE1DOM01";"10.226.135.246";"";"Microsoft Windows Server 2008 R2 Standard "
"CACAL2DOM03";"10.193.159.251";"";"Microsoft Windows Server 2012 R2 Standard"
"CACAL3DAT01";"10.193.143.230";"";"Microsoft Windows Server 2012 Standard"
"CACAL3DOM01";"10.193.143.250";"";"Microsoft Windows Server 2012 R2 Standard"
"cacal3nas01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACAL3PRT01";"10.193.143.228";"";"Microsoft Windows Server 2012 R2 Standard"
"CACAL6APP01";"10.193.167.252";"";"Microsoft Windows Server 2012 R2 Standard"
"CACAL6APP01";"10.193.167.253";"";"Microsoft Windows Server 2012 R2 Standard"
"CACAL6DATA01";"10.193.167.251";"";"Microsoft Windows Server 2012 R2 Standard"
"CACAL6DOM01";"10.193.167.250";"";"Microsoft Windows Server 2012 R2 Standard"
"CACHALOT";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACMB1DAT01";"10.226.144.254";"";"Microsoft Windows Server 2012 R2 Standard"
"CACMB1DAT01";"169.254.170.180";"";"Microsoft Windows Server 2012 R2 Standard"
"CACMB1DOM01";"10.226.144.246";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1A2A01";"10.252.9.171";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1A2A02";"10.252.9.172";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1AGR01";"10.252.9.17";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1AON01S";"10.252.9.240";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1AON01S";"169.254.2.16";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1APP01";"10.252.9.177";"";"Microsoft Windows Server 2008 R2 Standard "
"CACOL1APP01D";"10.252.9.116";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1APP01Q";"10.252.9.34";"";"Microsoft Windows Server 2008 R2 Standard "
"CACOL1APP02";"10.252.9.70";"";"Microsoft Windows Server 2012 Standard"
"CACOL1APP03";"10.252.9.71";"";"Microsoft? Windows Server? 2008 Standard "
"CACOL1APP04";"10.252.9.68";"";"Microsoft? Windows Server? 2008 Standard "
"CACOL1ARC01";"10.252.8.49";"";"Microsoft Windows Server 2012 Standard"
"CACOL1AV01";"10.252.9.10";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1BKP01";"10.252.9.102";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1BKP02";"10.252.9.103";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1BKP03";"10.252.9.105";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1BKP04";"10.252.9.106";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1BUS03D";"10.252.8.158";"";"Microsoft Windows Server 2012 Standard"
"CACOL1BUS04";"10.252.9.238";"";"Microsoft Windows Server 2012 Standard"
"CACOL1CFG01";"10.252.9.190";"";"Microsoft Windows Server 2012 Datacenter"
"CACOL1CLU01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACOL1CLU01DB";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACOL1CLU01DTC";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACOL1CLU01S";"10.252.9.240";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1CLU01S";"169.254.2.16";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1CMS01";"10.252.9.173";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1DOM01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACOL1DOM02";"10.252.8.230";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1DOM03";"10.252.9.210";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC01";"172.16.1.102";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC01";"10.252.8.151";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC02";"172.16.1.103";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC02";"10.252.8.152";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC03";"10.252.8.153";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1EXC03";"172.16.1.104";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1FTP01";"10.252.9.42";"";"Microsoft Windows Server 2012 R2 Standard"
"CACOL1IT01";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
"CACOL1LIC03";"10.252.8.190";"";"Microsoft Windows Server 2012 Standard"
"cacol1nas01t";"couldn't resolve WMI";"couldn't resolve WMI";"couldn't resolve WMI"
